latitude,longitude,location_index
41.93476,-87.639854,0
41.900223,-87.629105,1
41.911972,-87.68364,2
41.878864,-87.62519,3
41.929047,-87.65131,4
41.89959,-87.67472,5
41.91475,-87.65401,6
41.89833,-87.620766,7
41.929077,-87.64629,8
41.94287,-87.70133,9
41.94649,-87.64711,10
41.95753,-87.66661,11
41.871017,-87.63141,12
41.93454,-87.64302,13
41.934658,-87.64673,14
41.877384,-87.68066,15
41.879066,-87.657005,16
41.93058,-87.642204,17
41.928947,-87.6609,18
41.870605,-87.62217,19
41.878666,-87.67165,20
41.921703,-87.655914,21
41.870415,-87.67509,22
41.914616,-87.631714,23
41.901207,-87.67635,24
41.912434,-87.67019,25
41.863422,-87.653755,26
41.90007,-87.72092,27
41.92188,-87.66408,28
41.936157,-87.66126,29
